"10/08 20:03",55.8,Array,Array,Array,Array,0,0
"10/08 21:04",55.9,0,5.091797,-17.356499,0,0,0
"10/08 22:05",56,0,5.0853515,-17.20153,0,0,0
"10/08 23:06",56.1,0,5.078906,-17.0259,0,0,0
"10/09 00:06",56.2,0,5.0724607,-16.406025,0,0,0
"10/09 01:11",56.5,0,5.0724607,-15.868799,0,0,0
"10/09 02:07",56.4,0,5.0595703,-12.893402,0,0,0
"10/09 03:30",56.5,0,5.0595703,-13.223999,0,0,0
"10/09 04:03",56.6,0,5.0595703,-12.234783,0,0,0
"10/09 05:10",56.6,0,5.0466795,-12.066899,0,0,0
"10/09 06:08",56.6,0,5.053125,-11.9016,0,0,0
"10/09 07:09",56.7,0,5.0466795,-11.263645,0,0,0
"10/09 08:09",56.8,0,5.0466795,-11.023443,0,0,0
"10/09 09:10",57,0,5.040234,-10.620525,0,0,0
"10/09 10:10",56.8,0,5.0208983,-7.4488316,0,0,0
"10/09 11:12",56.7,0,5.0273438,-8.554371,0,0,0
"10/09 12:12",56.7,0,5.033789,-9.254196,0,0,0
"10/09 13:12",56.8,0,5.033789,-9.4221,0,0,0
"10/09 14:13",56.9,0,5.0273438,-8.931366,0,0,0
"10/09 15:13",56.9,0,5.0273438,-8.3424835,0,0,0
